"cluster","name","avg_log2FC","p_val","p_val_adj","gene","COG_class","Func_anno","Func","time","Anno"
"Adhesive cells","GshA",-1.38965454920132,0.0047716267243488,0.0399293641100808,"COG2918","H","Gamma-glutamylcysteine synthetase","","","1V4G"
"Adhesive cells","YddA",-1.38920574478158,0.00120887790032473,0.0184508298509417,"COG4178","R","ABC-type uncharacterized transport system, permease and ATPase components","","","6JBJ"
"Adhesive cells","COG3471",-1.36519712258305,0.00613206688819153,0.0461228484288075,"COG3471","S","Predicted secreted (periplasmic) protein","","",""
"Adhesive cells","AroG1",-1.36192943772159,0.00395173760705099,0.0360833333464787,"COG0722","E","3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase","Aromatic amino acid biosynthesis","","6U8J"
"Adhesive cells","NqrB",-1.35938275828647,0.000833543051131297,0.0143074024664941,"COG1805","C","Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrB","Na+-translocating NADH dehydrogenase","","4P6V"
"Adhesive cells","NrdB",-1.3549839257453,0.00276988155893188,0.0288395609310365,"COG0208","F","Ribonucleotide reductase beta subunit, ferritin-like domain","Pyrimidine salvage","","1AV8"
"Adhesive cells","RoxA",-1.34897776308449,0.00187214837206582,0.0235823026866845,"COG2850","J","Ribosomal protein L16 Arg81 hydroxylase, contains JmjC domain","","","1VRB"
"Adhesive cells","LomR",-1.33492365779247,0.006342492003136,0.046792433317841,"COG3637","M","Opacity protein LomR and related surface antigens","","","1Q9F"
"Adhesive cells","YceD",-1.33403147526131,0.00162105385688249,0.0216765233652821,"COG1399","J","23S rRNA accumulation protein YceD (essential in plants, uncharacterized in bacteria)","","27574185",""
"Adhesive cells","RlmJ",-1.32617404843556,0.00405108743112203,0.0366702329804163,"COG2961","J","23S rRNA A2030 N6-methylase RlmJ","23S rRNA modification","","2OO3"
"Adhesive cells","AceE",-1.3141296755027,0.0100378241461543,0.0630303011699957,"COG2609","C","Pyruvate dehydrogenase complex, dehydrogenase (E1) component","Pyruvate oxidation","","1L8A"
"Adhesive cells","AtpI",-1.3099682191376,0.00477052495008192,0.0399293641100808,"COG3312","C","FoF1-type ATP synthase accessory protein AtpI","FoF1-type ATP synthase","18083842;23123906",""
"Adhesive cells","PqiB",-1.30815926922607,0.000745102314616497,0.0136667450865184,"COG3008","M","Intermembrane transporter PqiABC subunit PqiB","","27795327;28819315","5UVN"
"Adhesive cells","AfuA",-1.30161359371116,0.00200847975680235,0.0245931920910356,"COG1840","P","ABC-type Fe3+ transport system, periplasmic component","","","6IVY"
"Adhesive cells","TssB",-1.28432815699682,0.0118168580375664,0.0697995767134221,"COG3516","U","Predicted component TssA of the type VI protein secretion system","","","5N8N"
"Adhesive cells","TrmL",-1.28172419933886,0.000254717941296302,0.00686390587820207,"COG0219","J","tRNA(Leu) C34 or U34 (ribose-2'-O)-methylase TrmL, contains SPOUT domain","tRNA modification","","4JAK"
"Adhesive cells","COG3522",-1.26724577696301,0.0125549187870599,0.0725202629385145,"COG3522","U","Predicted component of the type VI protein secretion system","","","5M2Y"
"Adhesive cells","SbcB",-1.2659903316755,0.0246032642215052,0.106512268089373,"COG2925","L","Exonuclease I (degrades ssDNA)","","","1FXX"
"Adhesive cells","RidA",-1.26574368484138,0.0363297077213925,0.134929695995438,"COG0251","V","Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family","Pyrimidine degradation","22094463;32205462","1J7H"
"Adhesive cells","YkgB",-1.26045922808623,0.0410078283842929,0.146326568518014,"COG3059","V","Reactive chlorine resistance protein RclC/YkgB, DUF417 family","","24078635",""
"Adhesive cells","COG3803",-1.25457563688589,0.0347986012421903,0.131580244479964,"COG3803","S","Uncharacterized conserved protein, DUF924 family","","","2I6H"
"Adhesive cells","NqrA",-1.25374954033373,0.000555703610776719,0.0109620400956049,"COG1726","C","Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrA","Na+-translocating NADH dehydrogenase","","4P6V"
"Adhesive cells","EfeO",-1.24096828480914,0.0287584403729854,0.116992021050413,"COG2822","P","Iron uptake system EfeUOB, periplasmic (or lipoprotein) component EfeO/EfeM","","","3AT7"
"Adhesive cells","TatA",-1.23762028597393,0.00203879393878088,0.0247855704999467,"COG1826","U","Twin-arginine protein secretion pathway components TatA and TatB","","","2L16"
"Adhesive cells","CeuD",-1.22340466386329,0.0021030375158875,0.0250787418361634,"COG4604","P","ABC-type enterochelin transport system, ATPase component","","",""
"Adhesive cells","ZnuA",-1.21977302270079,0.000233666346665949,0.00660265311997973,"COG0803","P","ABC-type Zn uptake system ZnuABC, Zn-binding component ZnuA","","","1K0F"
"Adhesive cells","ZnuA",-1.21977302270079,0.000233666346665949,0.00660265311997973,"COG4531","P","ABC-type Zn2+ transport system, periplasmic component/surface adhesin ZnuA","","","2OGW"
"Adhesive cells","CcoQ",-1.2111968587595,0.0232154889833585,0.102734136660237,"COG4736","C","Cbb3-type cytochrome oxidase, subunit 3","","",""
"Adhesive cells","YegP",-1.20391102095849,0.0271789822435457,0.112344317109663,"COG3422","S","Uncharacterized conserved protein YegP, UPF0339 family","","","2K49"
"Adhesive cells","YgfZ",-1.20006816787233,0.00259110598069809,0.0277846287468703,"COG0354","O","Folate-binding protein YgfZ, synthesis and repair of Fe-S clusters","","27941785;22081392","1NRK"
"Adhesive cells","RpmB",-1.19917969425891,8.1929020336239e-05,0.00350765605215955,"COG0227","J","Ribosomal protein L28","Ribosome 50S subunit","","2JZ6"
"Adhesive cells","KpsE",-1.19543304443138,0.0137777113600893,0.0750239438904863,"COG3524","M","Capsule polysaccharide export protein KpsE/RkpR","","",""
"Adhesive cells","MoaC",-1.19402007464355,0.00133552564908914,0.0196660854383478,"COG0315","H","Molybdenum cofactor biosynthesis enzyme MoaC","Molybdopterin biosynthesis","32239579","1EKR"
"Adhesive cells","FolE2",-1.1897695106181,0.0121361552436587,0.0707384992686797,"COG1469","H","GTP cyclohydrolase FolE2","Folate biosynthesis","19767425","2R5R"
"Adhesive cells","AF1403",-1.18513092152351,0.0265905612298455,0.111201727063214,"COG1707","R","Uncharacterized protein, contains ACT and PBP-like DUF5612 domains, MJ1458 family","","","1Y7P"
"Adhesive cells","MutK",-1.18027647406401,0.0153222865299332,0.0795009953699512,"COG2354","L","Membrane protein MutK/YedI, may be involved in DNA repair","","9922251;10411738;31497001",""
"Adhesive cells","GrxC",-1.18001827038691,0.00682979834955954,0.0497599594039338,"COG0695","O","Glutaredoxin","","","1AAZ"
"Adhesive cells","RlpA",-1.17905688176972,0.00995502989167698,0.0626986972996885,"COG0797","M","Peptidoglycan lytic transglycosylase RlpA, contains C-terminal SPOR domain","","24806796","4AVR"
"Adhesive cells","PspA",-1.17599119265836,0.0284915156726645,0.116586613055854,"COG1842","KT","Phage shock protein A","","","4WHE"
"Adhesive cells","TypA",-1.17168482501023,2.94252195175052e-05,0.00205093780037011,"COG1217","T","Predicted membrane GTPase TypA/BipA involved in stress response","","","5A9V"
"Adhesive cells","RpsO",-1.16766313892615,0.0010246844947553,0.0161098893122808,"COG0184","J","Ribosomal protein S15P/S13E","Ribosome 30S subunit","","4V4H"
"Adhesive cells","RpmE",-1.16738274924427,0.0016705927136546,0.02210892002691,"COG0254","J","Ribosomal protein L31","Ribosome 50S subunit","","1VS6"
"Adhesive cells","PyrC",-1.16727404190559,0.0324056893905444,0.125948506534625,"COG0418","F","Dihydroorotase","Pyrimidine biosynthesis","","2Y3D"
"Adhesive cells","NqrC",-1.16094282478716,0.00508538307980013,0.0413756265364283,"COG2869","C","Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrC","Na+-translocating NADH dehydrogenase","","4P6V"
"Adhesive cells","Efp",-1.15228413954964,0.000477542962279372,0.0107774654372169,"COG0231","J","Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)","Translation factors","","1UEB"
"Adhesive cells","NlpA",-1.15162387431472,0.000541959458599504,0.0109390288715958,"COG1464","P","ABC-type metal ion transport system, periplasmic component/surface antigen","","","1P99"
"Adhesive cells","RplM",-1.15037571855458,0.000192078351321325,0.00599456466586404,"COG0102","J","Ribosomal protein L13","Ribosome 50S subunit","","1VS6"
"Adhesive cells","RplI",-1.14817604169684,0.000517405065910183,0.0108997161714453,"COG0359","J","Ribosomal protein L9","Ribosome 50S subunit","27112601","1VS6"
"Adhesive cells","SsuE",-1.14805878014642,0.0304024189103944,0.120858285060142,"COG0431","C","NAD(P)H-dependent FMN reductase","","","6DQI"
"Adhesive cells","MltF",-1.14625175680555,0.00564790350796926,0.0437398749450508,"COG4623","MT","Membrane-bound lytic murein transglycosylase MltF","","","4OWD"
"Adhesive cells","TrpF",-1.14579931706536,0.00814554910913412,0.0551802319389623,"COG0135","E","Phosphoribosylanthranilate isomerase","Aromatic amino acid biosynthesis","","1DL3"
"Adhesive cells","CeuA",-1.14188027391751,0.021700708196747,0.0989833070018163,"COG4607","P","ABC-type enterochelin transport system, periplasmic component","","","3ZKW"
"Adhesive cells","RplC",-1.1413126654052,0.000196530056417198,0.00601326065428565,"COG0087","J","Ribosomal protein L3","Ribosome 50S subunit","","1VS6"
"Adhesive cells","RplF",-1.13943214406108,0.000544074128477266,0.0109390288715958,"COG0097","J","Ribosomal protein L6P/L9E","Ribosome 50S subunit","","1VS6"
"Adhesive cells","ProC",-1.13749714193338,0.00995011098449267,0.0626986972996885,"COG0345","E","Pyrroline-5-carboxylate reductase","Proline biosynthesis","22125496;26507882","3GT0"
"Adhesive cells","MotB",-1.13292640698492,0.00887639141106984,0.0581834935440346,"COG1360","N","Flagellar motor protein MotB","","",""
"Adhesive cells","TalA",-1.12836938171637,0.00159447432225128,0.0216496481027755,"COG0176","G","Transaldolase/fructose-6-phosphate aldolase","Pentose phosphate pathway","","1F05"
"Adhesive cells","COG3517",-1.1220315187078,0.0328492619902383,0.127261216834601,"COG3517","U","Predicted component TssB of the type VI protein secretion system, VipA/VipB/TssB family","","","5MYU"
"Adhesive cells","CDC9",-1.11413307544899,0.00409869789796543,0.0367827352130717,"COG1793","L","ATP-dependent DNA ligase","","","1A0I"
"Adhesive cells","Gnd",-1.11329144016931,0.0027860312329361,0.0288395609310365,"COG0362","G","6-phosphogluconate dehydrogenase","Pentose phosphate pathway","25329577","2ZYA"
"Adhesive cells","RpsC",-1.1101418806671,0.000487203410845017,0.0108376843837971,"COG0092","J","Ribosomal protein S3","Ribosome 30S subunit","","1VS6"
"Adhesive cells","HemX",-1.10591847413056,0.0396835061600676,0.142819640930639,"COG2959","R","Proteobacterial HemX domain, involved in 2-ketogluconate production (unrelated to B. subtilis HemX, COG0755, no evidence of involvement in heme biosynthesis)","","26256849",""
"Adhesive cells","MltE",-1.10560826012933,0.00237216176454033,0.0267272330913057,"COG0741","M","Soluble lytic murein transglycosylase or regulatory protein s ( may contain LysM/invasin domain)","","","153L"
"Adhesive cells","RpsN",-1.09974667802933,0.000779824871953892,0.0140570155797896,"COG0199","J","Ribosomal protein S14","Ribosome 30S subunit","","4V4H"
"Adhesive cells","GrxD",-1.0983486186513,0.00310994395076869,0.0311880025625615,"COG0278","O","Glutaredoxin-related protein","","","1YKA"
"Adhesive cells","NqrE",-1.09638724820239,0.0117204358190722,0.0694261509849291,"COG2209","C","Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrE","Na+-translocating NADH dehydrogenase","","4P6V"
"Adhesive cells","YciB",-1.09248360850636,0.0109302274962874,0.0669850108514347,"COG2917","D","Intracellular septation protein A","","",""
"Adhesive cells","YejB",-1.08752975797656,0.0471426174370652,0.157468391471092,"COG4174","Q","ABC-type microcin C transport system, permease component YejB","","17873039",""
"Adhesive cells","BglS",-1.0856989609035,0.00637773481376598,0.046792433317841,"COG2273","G","Beta-glucanase, GH16 family","","","1AJK"
"Adhesive cells","NqrD",-1.08343149534256,0.00427650578230455,0.0374149522627565,"COG1347","C","Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrD","Na+-translocating NADH dehydrogenase","","4P6V"
"Adhesive cells","AcrB",-1.07995230708823,5.9698728209839e-05,0.0029758724253042,"COG0841","V","Multidrug efflux pump subunit AcrB","","","1IWG"
"Adhesive cells","PitA",-1.06629379522675,0.00124582368224375,0.0187411317954798,"COG0306","P","Phosphate/sulfate permease","","31358606",""
"Adhesive cells","TolC",-1.06521445438669,0.00022842449865006,0.00654295379009966,"COG1538","M","Outer membrane protein TolC","","","1EK9"
"Adhesive cells","YhbY",-1.06234794347479,0.0264549279001982,0.111179757145538,"COG1534","J","RNA-binding protein YhbY","","","1JO0"
"Adhesive cells","LipB",-1.06053395706941,0.0136457266802004,0.0749219650101272,"COG0321","H","Lipoate-protein ligase B","Lipoate biosynthesis","19798051","2QHT"
"Adhesive cells","DapD",-1.05495226026683,0.0134762325380245,0.0746716248277132,"COG2171","E","Tetrahydrodipicolinate N-succinyltransferase","Lysine biosynthesis","","3BXY"
"Adhesive cells","IbaG",-1.0475453882049,0.0286887870797363,0.116936167219744,"COG5007","T","Acid stress protein IbaG/YrbA, BolA-like family","","22534295","1NY8"
"Adhesive cells","SdaC",-1.0455914890854,0.032133569061264,0.125123450478777,"COG0814","E","Amino acid permease","","",""
"Adhesive cells","COG4389",-1.04259954413813,0.0255790017358565,0.109154474754441,"COG4389","L","Site-specific recombinase","","",""
"Adhesive cells","COG3349",-1.03386031405399,0.0434483475193358,0.150597478643468,"COG3349","R","Uncharacterized protein, contains NAD-binding domain and a Fe-S cluster","","","5MOG"
"Adhesive cells","HisB2",-1.03239151480853,0.0229517097301278,0.102734136660237,"COG0131","E","Imidazoleglycerol phosphate dehydratase HisB","Histidine biosynthesis","","1RHY"
"Adhesive cells","ElaB",-1.03043840184904,0.00720920100790585,0.0516247921490793,"COG4575","J","Membrane-anchored ribosome-binding protein ElaB, inhibits growth in stationary phase, YqjD/DUF883 family","","",""
"Adhesive cells","FhaB",-1.02996079410143,0.00145265457198945,0.0206438150889689,"COG3210","U","Large exoprotein involved in heme utilization or adhesion","","","4RM6"
"Adhesive cells","AckA",-1.02596808290498,0.0191050024278783,0.0914154692830517,"COG0282","C","Acetate kinase","","","3SK3"
"Adhesive cells","Trm112",-1.02572268068258,0.0023146133439829,0.0265872912279065,"COG2835","J","RNA methyltransferase activator Trm112/YbaR","","27986851;30010922","2KPI"
"Adhesive cells","MurA",-1.02377469379886,0.000113549446321219,0.0041654717939942,"COG0766","M","UDP-N-acetylglucosamine enolpyruvyl transferase","Mureine biosynthesis","","1A2N"
"Adhesive cells","LpoA",-1.02077724564376,0.0272939854391471,0.112567502077429,"COG3107","M","Outer membrane lipoprotein LpoA, binds and activates PBP1a","","21183074","2MHK"
"Adhesive cells","COG4339",-1.01612218866563,0.0149473962606449,0.0781877013924778,"COG4339","R","Predicted metal-dependent phosphohydrolase, HD superfamily","","",""
"Adhesive cells","COG3219",-1.0152133653791,0.0384326478936534,0.139727333246917,"COG3219","S","Uncharacterized conserved protein, DUF2063 family","","","3DEE"
"Adhesive cells","PotD",-1.01385573073059,0.0172943577799891,0.0869290916297047,"COG0687","E","Spermidine/putrescine-binding periplasmic protein","","","1POT"
"Adhesive cells","KdsA",-1.01157966329594,0.00399444840191456,0.0363147461234928,"COG2877","M","3-deoxy-D-manno-octulosonic acid (KDO) 8-phosphate synthase","Lipid A biosynthesis","","1G7U"
"Adhesive cells","FdhD",-1.00793697898221,0.0361784909697889,0.134929695995438,"COG1526","C","Formate dehydrogenase assembly factor FdhD, a sulfurtransferase","","","2PW9"
"Adhesive cells","RimP",-1.00510206562967,0.00521201562494861,0.041756033225163,"COG0779","J","Ribosome maturation factor RimP","","","1IB8"
"Adhesive cells","SlpA",-1.004112308368,0.00357521730851632,0.0341359789593956,"COG1047","O","Peptidyl-prolyl cis-trans isomerase, FKBP type","","","2M2A"
"Adhesive cells","ZnuC",-1.00404851781944,0.00525203243481811,0.0418347315932534,"COG1121","P","ABC-type Mn2+/Zn2+ transport system, ATPase component","","",""
"Adhesive cells","YbaN",-1.00123702815581,0.0133823098101489,0.0744213026942058,"COG2832","S","Uncharacterized membrane protein YbaN, DUF454 family","","",""
"Adhesive cells","SWEET",-0.996198435529903,0.0167350705352015,0.0851411982703319,"COG4095","G","Sugar transporter, SemiSWEET family, contains PQ motif","","24027245",""
"Adhesive cells","Dps",-0.993929202689672,0.0376817146215071,0.138402000130443,"COG0783","PV","DNA-binding ferritin-like protein (oxidative damage protectant)","","","1DPS"
"Adhesive cells","RsfS",-0.993610372517996,0.00808662929830961,0.0550786379894638,"COG0799","J","Ribosomal silencing factor RsfS, regulates association of 30S and 50S subunits","","","6SJ6"
"Adhesive cells","LipA",-0.992571217132351,0.0146395739337249,0.0771066727844302,"COG0320","H","Lipoate synthase","Lipoate biosynthesis","27941785","4U0O"
"Adhesive cells","LldD",-0.986211601741592,0.00191379485039121,0.023819910905762,"COG1304","CIR","FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase","Isoprenoid biosynthesis","","6AI7"
"Adhesive cells","IlvC",-0.984962662551057,0.0192989591718463,0.0917139173371151,"COG0059","EH","Ketol-acid reductoisomerase","Isoleucine, leucine, valine biosynthesis","","1NP3"
"Adhesive cells","KpsS",-0.975551428370213,0.0375701251741795,0.138308330526777,"COG3562","M","Capsule polysaccharide modification protein KpsS","","",""
"Adhesive cells","IS5",-0.974739460346266,0.0373714802844707,0.137819691842731,"COG3039","X","Transposase and inactivated derivatives, IS5 family","","",""
"Adhesive cells","YsdA",-0.974381534462948,0.0362594215136279,0.134929695995438,"COG3326","S","Uncharacterized membrane protein YsdA, DUF1294 family","","",""
"Adhesive cells","AnmK",-0.973944410523308,0.0457262368882216,0.15543890467144,"COG2377","M","1,6-Anhydro-N-acetylmuramate kinase","","15901686","3CQY"
"Adhesive cells","ThiL",-0.967552944223884,0.0271861427343327,0.112344317109663,"COG0611","H","Thiamine monophosphate kinase","Thiamine biosynthesis","","5CC8"
"Adhesive cells","RpoA",-0.966424546071107,0.000550314122783191,0.010959112673711,"COG0202","K","DNA-directed RNA polymerase, alpha subunit/40 kD subunit","RNA polymerase","","4KN7"
"Adhesive cells","RpsA",-0.965695042868702,0.000797226554331535,0.014247869445361,"COG0539","J","Ribosomal protein S1","Ribosome 30S subunit","","4NNH"
"Adhesive cells","TssA1",-0.964839527302353,0.0363986699649177,0.134946132795466,"COG3515","U","Type VI protein secretion system component TssA1/VasJ/EvfE, contains ImpA_N domain","","","6RIU"
"Adhesive cells","RplW",-0.9636364366037,0.000514933247730751,0.0108997161714453,"COG0089","J","Ribosomal protein L23","Ribosome 50S subunit","","1VS6"
"Adhesive cells","ZapD",-0.956429526165167,0.0121787947090984,0.0707384992686797,"COG4582","D","Cell division protein ZapD, interacts with FtsZ","","","2OEZ"
"Adhesive cells","OmpC",-0.956244253469207,0.0192779843217233,0.0917139173371151,"COG3203","M","Outer membrane porin OmpC/OmpF/PhoE","","","1PHO"
"Adhesive cells","COG3220",-0.953186488751112,0.0133343297779357,0.0743522228417697,"COG3220","S","Uncharacterized conserved protein, UPF0276 family","","","3BWW"
"Adhesive cells","PpsR",-0.950143136579399,0.0179148156498163,0.087933989492408,"COG1806","T","Regulator of PEP synthase PpsR, kinase-PPPase family (combines ADP:protein kinase and phosphorylase activities)","","","5D0N"
"Adhesive cells","COG4222",-0.948349782345028,0.00491673062687482,0.040372397849732,"COG4222","S","Uncharacterized conserved protein, contains a phytase-like domain","","",""
"Adhesive cells","DoxX",-0.942661700751753,0.00836608887164743,0.0559191338106345,"COG2259","S","Uncharacterized membrane protein YphA, DoxX/SURF4 family","","",""
"Adhesive cells","Hpt1",-0.940696061829955,0.0135936827127661,0.0749219650101272,"COG2236","H","Hypoxanthine phosphoribosyltransferase","Purine salvage","","2JKZ"
"Adhesive cells","PriB",-0.937579301713751,0.0139062310736351,0.0753813873227169,"COG2965","L","Primosomal replication protein N","","","2PNH"
"Adhesive cells","MreD",-0.936179421930726,0.0140390349800808,0.0754643242759613,"COG2891","M","Cell shape-determining protein MreD","","",""
"Adhesive cells","RpsK",-0.935832967014719,0.00818071348688584,0.0551802319389623,"COG0100","J","Ribosomal protein S11","Ribosome 30S subunit","","4V4H"
"Adhesive cells","RpsE",-0.935571747344734,0.00197393871602257,0.0244231115692496,"COG0098","J","Ribosomal protein S5","Ribosome 30S subunit","","4V4H"
"Adhesive cells","YciW",-0.935189059982662,0.0328651636014751,0.127261216834601,"COG2128","P","Alkylhydroperoxidase family enzyme, contains CxxC motif","","","1GU9"
"Adhesive cells","YqiK",-0.933087409723693,0.0306518110896751,0.121388138235816,"COG2268","S","Uncharacterized membrane protein YqiK, contains Band7/PHB/SPFH domain","","","1WIN"
"Adhesive cells","TrmD",-0.932241330327711,0.00252376348889723,0.0273429505455135,"COG0336","J","tRNA G37 N-methylase TrmD","tRNA modification","","1P9P"
"Adhesive cells","SPT5",-0.930615189249282,0.0424408298161747,0.150018651020728,"COG5164","K","Transcription elongation factor SPT5","","",""
"Adhesive cells","AceF",-0.929443512726383,0.0132028207900467,0.0742126297634079,"COG0508","C","Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component","Pyruvate oxidation","","1B5S"
"Adhesive cells","COG3920",-0.928294544685163,0.0381333871646703,0.139400196785534,"COG3920","T","Two-component sensor histidine kinase, HisKA and HATPase domains","","","4R39"
"Adhesive cells","SodA",-0.927481380759757,0.0119454662668045,0.0703604787715158,"COG0605","P","Superoxide dismutase","","","1AP5"
"Adhesive cells","RpmI",-0.92714169436803,0.00219179037440088,0.0257473801846756,"COG0291","J","Ribosomal protein L35","Ribosome 50S subunit","28373563","1VS6"
"Adhesive cells","ERG9",-0.922961671453075,0.0423605737457345,0.150018651020728,"COG1562","I","Phytoene/squalene synthetase","","","3WEK"
"Adhesive cells","TehB",-0.914625528789768,0.012836370520943,0.0736690454129923,"COG3615","P","Tellurite resistance protein TehB, SAM-dependent methylase, cupin superfamily","","11053398","3BB6"
"Adhesive cells","Tsf",-0.9119548041686,0.00047934207826933,0.0107774654372169,"COG0264","J","Translation elongation factor EF-Ts","Translation factors","","1EFU"
"Adhesive cells","RpsI",-0.911350818518114,0.000843179223094221,0.0143340467926018,"COG0103","J","Ribosomal protein S9","Ribosome 30S subunit","","4V4H"
"Adhesive cells","TrmJ",-0.908752811629555,0.0204569414319384,0.0950565878537404,"COG0565","J","tRNA C32,U32 (ribose-2'-O)-methylase TrmJ or a related methyltransferase","tRNA modification","","3ONP"
"Adhesive cells","RplU",-0.908595929179031,0.00324474162603716,0.0321552357348043,"COG0261","J","Ribosomal protein L21","Ribosome 50S subunit","","1VS6"
"Adhesive cells","IspG",-0.906969746181489,0.00567103345158064,0.0437569407647791,"COG0821","I","4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase IspG/GcpE","Isoprenoid biosynthesis","","2Y0F"
"Adhesive cells","Orn",-0.905692469131437,0.0436024581383495,0.150597478643468,"COG1949","A","Oligoribonuclease (3'-5' exoribonuclease)","","","1YTA"
"Adhesive cells","DotU",-0.90255352923787,0.0469024955809677,0.157128391865639,"COG3455","U","Type VI protein secretion system component TssL/VasF/DotU","","25471186","3U66"
"Adhesive cells","YdgA",-0.901223321497989,0.0110585452581583,0.0674152132210173,"COG5339","S","Uncharacterized conserved protein YdgA, DUF945 family","","",""
"Adhesive cells","Rnd",-0.900746635370347,0.0116706026833939,0.0693273585539108,"COG0349","J","Ribonuclease D","","18821773","5C0Y"
"Adhesive cells","RplB",-0.900714678250123,0.00155633859154683,0.0214098947034502,"COG0090","J","Ribosomal protein L2","Ribosome 50S subunit","","1VS6"
